frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_12.06.59 AM_003516.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3516,110108,7.64,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003519.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3519,110188,7.67,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003522.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3522,110268,7.67,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003525.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3525,110348,7.72,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003528.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3528,110468,7.71,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003531.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3531,110568,7.67,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003534.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3534,110668,7.48,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003537.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3537,110768,7.15,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003540.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3540,110868,6.82,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003543.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3543,110948,6.42,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003546.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3546,111030,5.8,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003549.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3549,111130,5.79,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003552.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3552,111210,6.59,False
Screen_Recording_2026-07-03_at_12.06.59 AM_003555.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,3555,111310,7.79,False
